,Brand,Manufacturer,Item Weight,Country of Origin,Item model number,Batteries,Color,Battery Capacity,rating,price,ASIN,Date First Available,Memory Storage Capacity,Standing screen display size,Ram Memory Installed Size,Product Dimensions,RAM,OS,Connectivity technologies,Other display features,Other camera features,Form Factor,Whats in the box,Weight,Charging Time,
37,Phone Tripod,UBeesize,0.023 ounces,China,KZ-02,1 Lithium Metal batteries required. (included),Black,,4.54.5,16,B07Y1PTQFR,6-Dec-19,,,,15.99 x 8.99 x 1 inches,,,,Photography,,,tripod,,,
38,Nokia 6300 4G | Unlocked | Dual SIM | WiFi Hotspot | Social Apps | Google Maps and Assistant | Light Charcoal,HMD Global Oy,3.7 Ounces,Vietnam,TA-1324,1 Lithium Ion batteries required. (included),,1500 Milliamp Hours,3.53.5,68,B08SV2Y7J6,8-Feb-21,4 GB,2.4 Inches,512 MB,4.91 x 2.09 x 0.54 inches,,,,,,,,,5 Watts,
39,NUU B15 | 3-Day Battery | 48 MP | Quad-Camera | Unlocked (T-Mobile Only) | 6.78'' Full HD+ Display | 128GB | 90Hz | 18W Fast Charge | 5000 mAh | Fingerprint | Android 11 | Black,NUU,7.2 ounces,,S6701L,1 Lithium Polymer batteries required. (included),Black,5000,3.83.8,,B09KYF9XCD,22-Nov-21,4 GB,6.78 Inches,4 GB,6.6 x 3.02 x 0.34 inches,4 GB,Android 11.0,Wireless,Wireless,"Rear, Front",Smartphone,"SIM Tray Ejector, Quick Reference Manual",203 Grams,2.5 Hours,
40,Nokia G10 | Android 11 | Unlocked Smartphone | 3-Day Battery | Dual SIM | US Version | 3/32GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night,HMD Global Oy,6.8 Ounces,,TA-1338,1 Lithium Polymer batteries required. (included),,5050 Milliamp Hours,3.73.7,199,B093QPTSK7,"April 30, 2021",512 GB,6.52 Inches,3 GB,6.49 x 2.99 x 0.36 inches,,,,,,,,,3 Hours,
41,SAMSUNG Galaxy Z Fold 4 Cell Phone,SAMSUNG,263 Grams,Vietnam,SM-F936UZEAXAA,2 Lithium Ion batteries required. (included),,4400 Milliamp Hours,4.24.2,"1,799.00",B0B3TP6BN8,10-Aug-22,256 GB,7.6 Inches,12 GB,6.85 x 5.87 x 1.14 inches,,,,,,,,,79 minutes,
42,TracFone Moto g Pure (2021),MOTOROLA INC,6.6 ounces,China,XT2163DL,1 Lithium Ion batteries required. (included),Blue,4000,5.05.0,24,B0C7LNLS9P,9-Jun-23,32 GB,6.5 Inches,3 GB,2.5 x 6.75 x 10.38 inches,3 GB,Android 11.0,"Bluetooth, Wi-Fi, USB",Wireless,Rear,Bar,"Service Guide, Quick Start Guide, Moto g PURE, USB Cable",6.63 Ounces,,
43,Alcatel 1 (16GB) 5.0" Full View Display,Alcatel,0.1 ounces,,5033E,1 Lithium Polymer batteries required.,Bluish Black,2000,3.83.8,,B085TCRFST,1-Sep-19,16 GB,5 Inches,1 GB,5.42 x 0.39 x 2.59 inches,1 GB,Android 8.1,Wi-Fi,Wireless,"Rear, Front",Slate,Power Adapter,0.1 Ounces,,
44,TracFone TCL Flip 2,ALCATEL,12.8 ounces,China,T408DL,1 Lithium Ion batteries required. (included),Black,1850,5.05.0,19,B0BV7HBJLJ,8-Feb-23,8 GB,1.4 Inches,1 GB,1.5 x 6.31 x 8.25 inches,1 GB,Android 11.0,"Bluetooth, Wi-Fi, USB",Wireless,Rear,Flip,"Service Guide, Quick Start Guide, TCL Flip 2, USB Cable",0.8 Pounds,,
45,SAMSUNG Galaxy S9+ Factory Unlocked Smartphone 64GB - Coral Blue - US Version [SM-G965UZBAXAA],Samsung,6.7 ounces,"Korea, Republic of",SM-G965UZBAXAA,1 Lithium Polymer batteries required. (included),Coral Blue,3500 Milliamp Hours,4.44.4,,B079JLWJK1,2-Feb-18,64 GB,6.2 Inches,6 GB,6.2 x 2.9 x 0.3 inches,6 GB,Android,"Bluetooth, Wi-Fi",Wireless,Super Speed Dual Pixel Rear Dual: 12MP OIS (F1.5/F2.4) 12MP OIS (F2.4) Front: 8MP AF (F1.7),Smartphone,"Samsung Galaxy S9+, Wall/USB Charger, Micro USB Connector, Stereo Headset, USB Connector, Quick Reference Guide, Terms and Conditions, Smart Switch Insert, SIM Ejector",189 Grams,,
46,45W USB C Super Fast Charger,"Shenzhen Topstar Industry Co.,Ltd.",3.52 ounces,China,AI-622,,,,4.64.6,18,B0BMQ5936M,17-Nov-22,,,,,,,,,,,,,,
47,iPhone Stand Holder,NONOUV,1.6 ounces,China,Stand-1,,,,,14,B0CBLSNFX3,11-Jul-23,,,,,,,,,,,,,,
48,Phone Tripod,UBeesize,13.1 ounces,China,Tripod E USA 002,1 Lithium Metal batteries required. (included),,,4.54.5,13,B07VTZTS4X,10-Oct-18,,,,,,,,,,,,,,
49,TP-Link Tapo 2K Indoor Security Camera for Baby Monitor,TP-Link,2.46 ounces,Vietnam,Tapo C110,,,,4.44.4,22,B09YL5G1Y8,4-May-22,,,,2.66 x 2.15 x 3.89 inches,,,,,,,,,,
50,Total by Verizon Samsung Galaxy A13 5G,SAMSUNG,12.8 ounces,China,TVSASS136DCP,1 Lithium Ion batteries required. (included),BLACK,5000 Milliamp Hours,3.83.8,79,B0BBY1HQTL,3-Oct-22,64 GB,6.5 Inches,4 GB,1.5 x 6.31 x 8.25 inches,4 GB,Android 11.0,"Bluetooth, Wi-Fi, USB",Wireless,"Rear, Front",Smartphone,"User Manual, Service Guide, Charger, USB Cable",0.8 Pounds,,
51,Nokia 2780 Flip | Unlocked | Verizon,HMD Global Oy,4.62 Ounces,USA,TA-1420,1 Lithium Ion batteries required. (included),,1450,3.83.8,89,B0BLD393H7,27-Nov-22,512 MB,2.8 Inches,512 MB,7.96 x 2.28 x 0.45 inches,,,,,,,,,3 Hours,
52,OnePlus 11 5G | 16GB RAM+256GB | Dual-SIM | Titan Black | US Factory Unlocked Android Smartphone | 5000 mAh battery | 80W Fast charging | Hasselblad Camera | 120Hz Fluid Display | 4nm Processor,OnePlus,7.2 ounces,China,CPH2451,1 Lithium Ion batteries required. (included),Titan Black,5000 Milliamp Hours,4.44.4,799,B0BNWPSCGB,25-Jan-23,256 GB,6.7 Inches,16 GB,6.42 x 2.92 x 0.33 inches,256,Android 13.0,"5G: n1/n2/n3/n5/n7/n8/n20/n25/n28/n30/n38/n41/n66/n71/n75/n76/n77/n78, 5G & 4G Carriers: T-Mobile, AT&T, Verizon Wireless, Visible, Mint Mobile, Google Fi, Ultra Mobile, Simple Wireless, Assurance Wireless, Metro By T-Mobile, Cricket, Altice, Tracfone ATT, Bell Mobility (Canada), Telus Mobility (Canada), Ztar (good2go mobile), Redpocket, Airvoice, Puretalk, Republic, Boost Mobile, Total Wireless, 4G LTE: B1/B2/B3/B4/B5/B7/B8/B12/B13/B17/B18/B19/B20/B25/B26/B28/B30/B32/B38/B39/B41/B46/B48/B66/B71, 4G Only Carriers: Freedom Mobile (Canada), Viaero, Rogers Wireless (Canada), GSM: 850/900/1800/1900 WCDMA: B1/2/4/5/6/8/19",Wireless,"Rear, Front",Bar,"OnePlus SUPERVOOC Power Adapter, Type-C Cable, Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, SIM Tray Ejector, USB Dongle (Type-A to Type-C )",205 Grams,27 minutes,
53,Tracfone Motorola moto g Stylus 5G,Motorola,0.176 ounces,China,TFMTXT2131DCP,1 Lithium Ion batteries required. (included),Black,5000,4.24.2,155,B09CLP7ZFR,14-Aug-21,128 GB,6.8 Inches,4 GB,7.25 x 1.65 x 10.25 inches,4 GB,Android,Wi-Fi,Wireless,"Rear, Front",Slate,"Phone, Charger, Manual, SIM",0.01 Pounds,156 minutes,
54,Tracfone Samsung Galaxy A13 5G,Samsung,6.88 Ounces,USA,TFSAS136DCP,1 Lithium Ion batteries required. (included),,5000,4.34.3,89,B09X7G4FT4,1-May-22,64 GB,6.5 Inches,4 GB,3.01 x 0.34 x 6.47 inches,,,,,,,,,1 Hours,
55,OnePlus Nord N200 | Large 5000mAh Battery | 5G Unlocked Android Smartphone U.S Version | 64GB Storage | 6.49" Full HD+LCD Screen | 90Hz Smooth Display | Fast Charging | Triple Camera,OnePlus,0.01 Pounds,China,DE2117,1 Lithium Polymer batteries required. (included),,5000 Milliamp Hours,4.14.1,199,B07XWGWPH5,25-Jun-21,64 GB,6.49 Inches,4 GB,,,,,,,,,,,
56,NUU B20 5G | Unlocked Android Smartphone | 6.5” FHD+ Display | 90Hz Refresh Rate | 48MP Triple Camera | 128GB + 8GB RAM | 5000mAh Battery | 18W Fast Charge | Stardust Blue Buds A,NUU,,,,,clear,5000 Milliamp Hours,4.34.3,,B0BM3V961R,29-Nov-22,128 GB,,8 GB,,,android,Wi-Fi,Wireless,Rear,Smartphone,,,,
57,TCL 30 Z |2022| 6.1 Inch Unlocked Cell Phone with HD+ Display,TCL,9.9 ounces,,,,Black,3000 Milliamp Hours,3.23.2,,B0BNLYKGNG,29-Nov-22,32 GB,6.1 Inches,,,3 GB,Android 12.0,Wi-Fi,Wireless,"Rear, Front",Smartphone,"1 x TCL 30Z Android Phone, 1 x Quick Guide, 1 x Micro USB Cable, 1 x Charger (5V 1A)",,,
58,Ubeesize UB-DR121BK-new 12'' Ring Light with 62'' Selfie Stick Tripod,UBeesize,1.19 pounds,China,UB-DR121BK-new,1 Lithium Metal batteries required. (included),,,4.54.5,27,B09V58FYT4,25-Mar-22,,,,30 x 5 x 40 inches,,,,,,,,,,
59,SAMSUNG Galaxy S23+ Plus Cell Phone,SAMSUNG,196 Grams,Vietnam,SM-S916ULIAXAA,1 Lithium Ion batteries required. (included),,4700 Milliamp Hours,4.64.6,999,B0BLNZVRK2,1-Feb-23,256 GB,6.6 Inches,8 Gigabytes Per Second,,,,,,,,,,65 minutes,
60,SAMSUNG Galaxy S23 Ultra 5G SM-S918B/DS 256GB 12GB RAM,Samsung,10 ounces,,SM-S918,1 Lithium Polymer batteries required. (included),Black,50000 Milliamp Hours,4.24.2,,B0BSLBMCB2,1-Mar-19,256 GB,6.8 Inches,12 GB,6.8 x 3 x 0.4 inches,256 GB,Android 13.0,Wi-Fi,Wireless,Front,Slate,USB Cable,283 Grams,,
61,BLU G51 PLUS G0511WW 6.5" HD+ Infinity 64GB Dual-SIM 4G LTE GSM Smartphone,BLU,7 ounces,,,1 Lithium Ion batteries required. (included),Blue,,4.14.1,,B09PCD2VCC,28-Dec-21,64 GB,6.5 Inches,,9.25 x 6.75 x 3.25 inches,4 GB,Android 9.0,Wi-Fi,Wireless,"Rear, Front",Smartphone,USB Cable,0.44 Pounds,,
62,SAMSUNG Galaxy S21 FE 5G Cell Phone,Samsung Electronincs,6.7 ounces,Vietnam,SM-G990UZADXAA,1 Lithium Ion batteries required. (included),Graphite,4500 Milliamp Hours,4.54.5,549,B09BFTMQH9,11-Jan-22,128 GB,6.4 Inches,8 GB,6.7 x 3.4 x 2.44 inches,6 GB,Android 12.0,"Bluetooth, Wi-Fi, USB, NFC",Wireless,"Front, Rear, Video",Smartphone,TBD,190 Grams,75 minutes,
63,SAMSUNG Galaxy S22 Ultra Cell Phone,Samsung Electronincs,8.04 Ounces,Vietnam,SM-S908UZKEXAA,1 Lithium Ion batteries required. (included),,5000 Milliamp Hours,4.64.6,799,B09MW19JW2,9-Feb-22,256 GB,6.8 Inches,12 GB,6.43 x 3.07 x 0.35 inches,,,,,,,,,59 minutes,
64,SAMSUNG Galaxy S23 Cell Phone,SAMSUNG,168 Grams,Vietnam,SM-S911UZKAXAA,1 Lithium Ion batteries required. (included),,3900 Milliamp Hours,4.54.5,799,B0BLP2PY6N,1-Feb-23,128 GB,6.1 Inches,8 Gigabytes Per Second,,,,,,,,,,76 minutes,
65,BLU G91S | 4-Day Battery | Unlocked | 6.8” Full HD+ Display | 128GB | 48MP Triple Camera | US Version | US Warranty | Cyan,BLU,7.2 ounces,,,1 Lithium Ion batteries required. (included),Cyan,6000 Milliamp Hours,4.04.0,,B09RRSL97L,3-Feb-22,128 GB,6.8 Inches,,9.25 x 6.75 x 3.25 inches,,,Wi-Fi,Wireless,Rear,Smartphone,"Adapter, Screen Protector",0.45 Pounds,,
66,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Google,6.2 Ounces,,GA02900-US,1 Lithium Polymer batteries required. (included),,4614 Milliamp Hours,4.34.3,199,B09HJZPFDD,19-Oct-21,128 GB,6.4 Inches,8 GB,6.24 x 2.94 x 0.35 inches,,,,,,,,,1.88 Hours,
67,Tracfone Motorola moto g Power (2021),Motorola,206.5 Grams,China,TFMTXT2165DCP,1 Lithium Ion batteries required. (included),,5000,4.04.0,69,B09NWDX31H,20-Dec-21,64 GB,6.5 Inches,4 GB,6.58 x 3.01 x 0.39 inches,,,,,,,,,,
